"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Geographic code, census division","Geographic code, census metropolitan area or census agglomeration","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"1007013","Clarenville","Town","Newfoundland and Labrador","10","07","","4.5","00000","2016","2500","100","755","30.2","795","31.8","215","8.6","45","1.8","70","2.8","45","1.8","575","23"
"1010025","Happy Valley-Goose Bay","Town","Newfoundland and Labrador","10","10","","5.3","00000","2011","2845","100","800","28.1","970","34.1","270","9.5","85","3","125","4.4","70","2.5","510","17.9"
"1010025","Happy Valley-Goose Bay","Town","Newfoundland and Labrador","10","10","","5.3","00000","2016","3030","100","870","28.7","1005","33.2","260","8.6","85","2.8","135","4.5","105","3.5","565","18.6"
"1010032","Labrador City","Town","Newfoundland and Labrador","10","10","","1.9","00000","2011","2860","100","890","31.1","1030","36","210","7.3","40","1.4","85","3","85","3","510","17.8"
"1010032","Labrador City","Town","Newfoundland and Labrador","10","10","","1.9","00000","2016","2910","100","870","29.9","970","33.3","255","8.8","45","1.5","75","2.6","75","2.6","620","21.3"
"1102075","Charlottetown","City","Prince Edward Island","11","02","105","4.8","00000","2011","15000","100","3455","23","3320","22.1","1560","10.4","215","1.4","425","2.8","995","6.6","5025","33.5"
"1102075","Charlottetown","City","Prince Edward Island","11","02","105","4.8","00000","2016","16100","100","3840","23.9","3290","20.4","1525","9.5","235","1.5","415","2.6","1100","6.8","5700","35.4"
"1102080","Stratford","Town","Prince Edward Island","11","02","105","2.9","00000","2011","3285","100","1015","30.9","1135","34.6","255","7.8","50","1.5","90","2.7","110","3.3","640","19.5"
"1102080","Stratford","Town","Prince Edward Island","11","02","105","2.9","00000","2016","3815","100","1125","29.5","1270","33.3","320","8.4","50","1.3","95","2.5","120","3.1","830","21.8"
"1102085","Cornwall","Town","Prince Edward Island","11","02","105","3.5","00000","2011","1885","100","505","26.8","715","37.9","205","10.9","40","2.1","40","2.1","60","3.2","315","16.7"
"1102085","Cornwall","Town","Prince Edward Island","11","02","105","3.5","00000","2016","2030","100","590","29.1","685","33.7","195","9.6","50","2.5","45","2.2","60","3","400","19.7"
"1103025","Summerside","City","Prince Edward Island","11","03","110","4.0","00000","2011","6270","100","1775","28.3","1470","23.4","710","11.3","95","1.5","165","2.6","200","3.2","1850","29.5"
"1103025","Summerside","City","Prince Edward Island","11","03","110","4.0","00000","2016","6525","100","1930","29.6","1350","20.7","725","11.1","95","1.5","160","2.5","195","3","2070","31.7"
"1201001","Barrington","Municipal district","Nova Scotia","12","01","","3.2","00000","2011","3025","100","1015","33.6","785","26","265","8.8","45","1.5","75","2.5","50","1.7","795","26.3"
"1201001","Barrington","Municipal district","Nova Scotia","12","01","","3.2","00000","2016","2975","100","1025","34.5","685","23","240","8.1","45","1.5","60","2","65","2.2","845","28.4"
"1202001","Argyle","Municipal district","Nova Scotia","12","02","","3.4","00000","2011","3380","100","1200","35.5","1015","30","240","7.1","55","1.6","95","2.8","70","2.1","710","21"
"1202001","Argyle","Municipal district","Nova Scotia","12","02","","3.4","00000","2016","3365","100","1315","39.1","860","25.6","215","6.4","55","1.6","80","2.4","70","2.1","775","23"
"1202004","Yarmouth","Municipal district","Nova Scotia","12","02","","4.1","00000","2011","4205","100","1460","34.7","1085","25.8","345","8.2","90","2.1","135","3.2","105","2.5","980","23.3"
"1202004","Yarmouth","Municipal district","Nova Scotia","12","02","","4.1","00000","2016","4250","100","1540","36.2","975","22.9","325","7.6","75","1.8","130","3.1","100","2.4","1100","25.9"
"1202006","Yarmouth","Town","Nova Scotia","12","02","","5.3","00000","2011","3145","100","710","22.6","480","15.3","450","14.3","55","1.7","110","3.5","155","4.9","1190","37.8"
"1202006","Yarmouth","Town","Nova Scotia","12","02","","5.3","00000","2016","3120","100","735","23.6","420","13.5","410","13.1","55","1.8","90","2.9","130","4.2","1285","41.2"
"1203001","Clare","Municipal district","Nova Scotia","12","03","","4.0","00000","2011","3640","100","1260","34.6","810","22.3","280","7.7","80","2.2","110","3","115","3.2","995","27.3"
"1203001","Clare","Municipal district","Nova Scotia","12","03","","4.0","00000","2016","3690","100","1375","37.3","680","18.4","275","7.5","80","2.2","95","2.6","110","3","1075","29.1"
