"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"937","Duncan","CA","British Columbia","59"," ","5.6","00000","2001","15680","100","4565","29.1","4135","26.4","1535","9.8","275","1.8","475","3","465","3","4235","27"
"937","Duncan","CA","British Columbia","59"," ","5.6","00000","2006","16860","100","5220","31","3995","23.7","1615","9.6","450","2.7","610","3.6","400","2.4","4570","27.1"
"937","Duncan","CA","British Columbia","59"," ","5.6","00000","2011","17825","100","5530","31","3730","20.9","1570","8.8","515","2.9","795","4.5","650","3.6","5040","28.3"
"937","Duncan","CA","British Columbia","59"," ","5.6","00000","2016","18745","100","5970","31.8","3635","19.4","1565","8.3","480","2.6","870","4.6","685","3.7","5535","29.5"
"938","Nanaimo","CA","British Columbia","59"," ","4.9","00000","2001","35610","100","9950","27.9","8525","23.9","3565","10","670","1.9","1380","3.9","1580","4.4","9940","27.9"
"938","Nanaimo","CA","British Columbia","59"," ","4.9","00000","2006","38800","100","11575","29.8","8810","22.7","3440","8.9","735","1.9","1655","4.3","1815","4.7","10770","27.8"
"938","Nanaimo","CA","British Columbia","59"," ","4.9","00000","2011","41905","100","12540","29.9","8595","20.5","3660","8.7","830","2","1970","4.7","2165","5.2","12135","29"
"938","Nanaimo","CA","British Columbia","59"," ","4.9","00000","2016","44965","100","13440","29.9","8730","19.4","3920","8.7","955","2.1","2230","5","2385","5.3","13305","29.6"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","2001","11070","100","4770","43.1","2020","18.2","750","6.8","95","0.9","190","1.7","240","2.2","3010","27.2"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","2006","12200","100","5465","44.8","2095","17.2","780","6.4","105","0.9","205","1.7","260","2.1","3295","27"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","2011","12980","100","5870","45.2","1870","14.4","790","6.1","125","1","275","2.1","340","2.6","3710","28.6"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","2016","13750","100","6300","45.8","1805","13.1","785","5.7","155","1.1","330","2.4","360","2.6","4020","29.2"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","2001","10635","100","3105","29.2","2760","26","1055","9.9","105","1","290","2.7","280","2.6","3045","28.6"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","2006","10820","100","3485","32.2","2545","23.5","985","9.1","195","1.8","330","3","225","2.1","3065","28.3"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","2011","11200","100","3500","31.3","2245","20","1060","9.5","220","2","410","3.7","340","3","3440","30.7"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","2016","11360","100","3560","31.3","2065","18.2","1030","9.1","210","1.8","375","3.3","435","3.8","3685","32.4"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","2001","18940","100","5965","31.5","4630","24.4","1725","9.1","210","1.1","600","3.2","580","3.1","5240","27.7"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","2006","21240","100","7100","33.4","4625","21.8","1740","8.2","335","1.6","600","2.8","740","3.5","6095","28.7"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","2011","23110","100","7850","34","4485","19.4","1835","7.9","320","1.4","830","3.6","925","4","6875","29.7"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","2016","24435","100","8370","34.3","4490","18.4","1920","7.9","370","1.5","850","3.5","975","4","7470","30.6"
"944","Campbell River","CA","British Columbia","59"," ","4.5","00000","2001","13125","100","3645","27.8","3810","29","1305","9.9","245","1.9","590","4.5","430","3.3","3100","23.6"
"944","Campbell River","CA","British Columbia","59"," ","4.5","00000","2006","14185","100","4435","31.3","3720","26.2","1365","9.6","170","1.2","535","3.8","390","2.7","3575","25.2"
"944","Campbell River","CA","British Columbia","59"," ","4.5","00000","2011","15415","100","5070","32.9","3470","22.5","1380","9","245","1.6","570","3.7","545","3.5","4140","26.9"
"944","Campbell River","CA","British Columbia","59"," ","4.5","00000","2016","16385","100","5425","33.1","3305","20.2","1390","8.5","290","1.8","625","3.8","670","4.1","4685","28.6"
"945","Powell River","CA","British Columbia","59"," ","5.2","00000","2001","7020","100","2130","30.3","1835","26.1","645","9.2","80","1.1","165","2.4","185","2.6","1980","28.2"
"945","Powell River","CA","British Columbia","59"," ","5.2","00000","2006","7270","100","2385","32.8","1670","23","575","7.9","60","0.8","175","2.4","185","2.5","2225","30.6"
"945","Powell River","CA","British Columbia","59"," ","5.2","00000","2011","7510","100","2555","34","1415","18.8","615","8.2","95","1.3","245","3.3","230","3.1","2355","31.4"
