Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016)
3543,Simcoe,County,Ontario,35,4.0,00000,Female,243850,38625,158585,46635,6655,227090,37165,151590,38340,5685,214515,39240,142540,32735,4445,100,15.8,65,19.1,2.7,100,16.4,66.8,16.9,2.5,100,18.3,66.4,15.3,2.1,7.4,3.9,4.6,21.6,17.1,13.7,-1.6,11.3,42.5,49.7
3544,Muskoka,District municipality,Ontario,35,5.8,20000,Both sexes,60600,7625,37535,15440,2015,58020,7910,37495,12620,1555,57560,8775,37400,11390,1280,100,12.6,61.9,25.5,3.3,100,13.6,64.6,21.8,2.7,100,15.2,65,19.8,2.2,4.4,-3.6,0.1,22.3,29.6,5.3,-13.1,0.4,35.6,57.4
3544,Muskoka,District municipality,Ontario,35,5.8,20000,Male,30220,3940,18890,7395,760,28765,4000,18915,5845,475,28395,4515,18685,5200,395,100,13,62.5,24.5,2.5,100,13.9,65.8,20.3,1.7,100,15.9,65.8,18.3,1.4,5.1,-1.5,-0.1,26.5,60,6.4,-12.7,1.1,42.2,92.4
3544,Muskoka,District municipality,Ontario,35,5.8,20000,Female,30380,3685,18645,8045,1250,29260,3910,18580,6775,1080,29170,4255,18720,6190,880,100,12.1,61.4,26.5,4.1,100,13.4,63.5,23.2,3.7,100,14.6,64.2,21.2,3,3.8,-5.8,0.3,18.7,15.7,4.1,-13.4,-0.4,30,42
3546,Haliburton,County,Ontario,35,6.4,00000,Both sexes,18060,1720,10400,5940,595,17050,1795,10505,4750,435,16150,2030,10140,3980,340,100,9.5,57.6,32.9,3.3,100,10.5,61.6,27.9,2.6,100,12.6,62.8,24.6,2.1,5.9,-4.2,-1,25.1,36.8,11.8,-15.3,2.6,49.2,75
3546,Haliburton,County,Ontario,35,6.4,00000,Male,9055,915,5235,2910,225,8600,980,5270,2350,170,8015,1075,4995,1945,105,100,10.1,57.8,32.1,2.5,100,11.4,61.3,27.3,2,100,13.4,62.3,24.3,1.3,5.3,-6.6,-0.7,23.8,32.4,13,-14.9,4.8,49.6,114.3
3546,Haliburton,County,Ontario,35,6.4,00000,Female,9005,805,5170,3030,370,8450,815,5240,2400,265,8135,955,5145,2035,235,100,8.9,57.4,33.6,4.1,100,9.6,62,28.4,3.1,100,11.7,63.2,25,2.9,6.6,-1.2,-1.3,26.3,39.6,10.7,-15.7,0.5,48.9,57.4
3547,Renfrew,County,Ontario,35,5.0,00000,Both sexes,102395,16475,64620,21300,2845,101325,15940,66960,18420,2560,97545,16890,64310,16350,1920,100,16.1,63.1,20.8,2.8,100,15.7,66.1,18.2,2.5,100,17.3,65.9,16.8,2,1.1,3.4,-3.5,15.6,11.1,5,-2.5,0.5,30.3,48.2
3547,Renfrew,County,Ontario,35,5.0,00000,Male,51090,8540,32760,9790,940,50535,8235,34075,8220,810,48210,8605,32470,7135,575,100,16.7,64.1,19.2,1.8,100,16.3,67.4,16.3,1.6,100,17.8,67.4,14.8,1.2,1.1,3.7,-3.9,19.1,16,6,-0.8,0.9,37.2,63.5
3547,Renfrew,County,Ontario,35,5.0,00000,Female,51305,7935,31860,11505,1905,50790,7705,32890,10195,1750,49340,8280,31840,9210,1340,100,15.5,62.1,22.4,3.7,100,15.2,64.8,20.1,3.4,100,16.8,64.5,18.7,2.7,1,3,-3.1,12.8,8.9,4,-4.2,0.1,24.9,42.2
3548,Nipissing,District,Ontario,35,5.0,00000,Both sexes,83150,12330,53785,17040,2080,84735,12700,57075,14965,1715,84690,13845,57370,13480,1315,100,14.8,64.7,20.5,2.5,100,15,67.4,17.7,2,100,16.3,67.7,15.9,1.6,-1.9,-2.9,-5.8,13.9,21.3,-1.8,-10.9,-6.2,26.4,58.2
3548,Nipissing,District,Ontario,35,5.0,00000,Male,40505,6230,26575,7705,700,41300,6430,28200,6670,515,41130,7045,28165,5920,370,100,15.4,65.6,19,1.7,100,15.6,68.3,16.2,1.2,100,17.1,68.5,14.4,0.9,-1.9,-3.1,-5.8,15.5,35.9,-1.5,-11.6,-5.6,30.2,89.2
3548,Nipissing,District,Ontario,35,5.0,00000,Female,42645,6100,27215,9335,1375,43430,6275,28870,8290,1200,43560,6800,29200,7560,945,100,14.3,63.8,21.9,3.2,100,14.4,66.5,19.1,2.8,100,15.6,67,17.4,2.2,-1.8,-2.8,-5.7,12.6,14.6,-2.1,-10.3,-6.8,23.5,45.5
3549,Parry Sound,District,Ontario,35,6.3,00000,Both sexes,42825,5415,26040,11370,1175,42165,5550,27105,9510,990,40915,5860,26435,8620,845,100,12.6,60.8,26.5,2.7,100,13.2,64.3,22.6,2.3,100,14.3,64.6,21.1,2.1,1.6,-2.4,-3.9,19.6,18.7,4.7,-7.6,-1.5,31.9,39.1
3549,Parry Sound,District,Ontario,35,6.3,00000,Male,21480,2820,13035,5625,465,21090,2865,13545,4685,340,20405,3085,13200,4120,260,100,13.1,60.7,26.2,2.2,100,13.6,64.2,22.2,1.6,100,15.1,64.7,20.2,1.3,1.8,-1.6,-3.8,20.1,36.8,5.3,-8.6,-1.3,36.5,78.8
3549,Parry Sound,District,Ontario,35,6.3,00000,Female,21345,2595,13005,5745,705,21070,2680,13560,4825,645,20515,2775,13235,4500,580,100,12.2,60.9,26.9,3.3,100,12.7,64.4,22.9,3.1,100,13.5,64.5,21.9,2.8,1.3,-3.2,-4.1,19.1,9.3,4,-6.5,-1.7,27.7,21.6
3551,Manitoulin,District,Ontario,35,8.2,00100,Both sexes,13255,2120,7855,3285,340,13050,2205,8175,2665,260,12630,2320,8005,2310,230,100,16,59.3,24.8,2.6,100,16.9,62.6,20.4,2,100,18.4,63.4,18.3,1.8,1.6,-3.9,-3.9,23.3,30.8,4.9,-8.6,-1.9,42.2,47.8
3551,Manitoulin,District,Ontario,35,8.2,00100,Male,6605,1095,3910,1600,135,6520,1180,4060,1280,70,6280,1225,3965,1090,65,100,16.6,59.2,24.2,2,100,18.1,62.3,19.6,1.1,100,19.5,63.1,17.4,1,1.3,-7.2,-3.7,25,92.9,5.2,-10.6,-1.4,46.8,107.7
3551,Manitoulin,District,Ontario,35,8.2,00100,Female,6650,1020,3945,1680,200,6530,1025,4120,1385,190,6350,1095,4035,1220,155,100,15.3,59.3,25.3,3,100,15.7,63.1,21.2,2.9,100,17.2,63.5,19.2,2.4,1.8,-0.5,-4.2,21.3,5.3,4.7,-6.8,-2.2,37.7,29
3552,Sudbury,District,Ontario,35,6.0,00000,Both sexes,21545,2930,13980,4635,330,21195,3010,14405,3780,285,21850,3525,14860,3465,275,100,13.6,64.9,21.5,1.5,100,14.2,68,17.8,1.3,100,16.1,68,15.9,1.3,1.7,-2.7,-3,22.6,15.8,-1.4,-16.9,-5.9,33.8,20
3552,Sudbury,District,Ontario,35,6.0,00000,Male,10975,1505,7045,2430,125,10770,1520,7340,1910,95,10995,1775,7515,1700,95,100,13.7,64.2,22.1,1.1,100,14.1,68.2,17.7,0.9,100,16.1,68.3,15.5,0.9,1.9,-1,-4,27.2,31.6,-0.2,-15.2,-6.3,42.9,31.6
3552,Sudbury,District,Ontario,35,6.0,00000,Female,10570,1420,6945,2205,205,10425,1490,7065,1870,190,10855,1755,7340,1765,180,100,13.4,65.7,20.9,1.9,100,14.3,67.8,17.9,1.8,100,16.2,67.6,16.3,1.7,1.4,-4.7,-1.7,17.9,7.9,-2.6,-19.1,-5.4,24.9,13.9
