Geographic code,Geographic name,Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (2001 Counts),Broad Age Groups: 0 to 14 (2001 Counts),Broad Age Groups: 15 to 64 (2001 Counts),Broad Age Groups: 65 years and over (2001 Counts),Broad Age Groups: 85 years and over (2001 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (% Distribution 2001),Broad Age Groups: 0 to 14 (% Distribution 2001) ,Broad Age Groups: 15 to 64 (% Distribution 2001),Broad Age Groups: 65 years and over (% Distribution 2001),Broad Age Groups: 85 years and over (% Distribution 2001),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016),Total (Percent Change 2001 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2001 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2001 to 2016),Broad Age Groups: 65 years and over (Percent Change 2001 to 2016),Broad Age Groups: 85 years and over (Percent Change 2001 to 2016)
59,British Columbia,4.9,20000,Both sexes,4648055,691385,3107680,848990,109195,4400055,677365,3033980,688715,92670,4113490,679605,2834070,599810,76050,3907740,706070,2668580,533090,60035,100,14.9,66.9,18.3,2.3,100,15.4,69,15.7,2.1,100,16.5,68.9,14.6,1.8,100,18.1,68.3,13.6,1.5,5.6,2.1,2.4,23.3,17.8,13,1.7,9.7,41.5,43.6,18.9,-2.1,16.5,59.3,81.9
59,British Columbia,4.9,20000,Male,2278245,355405,1527280,395555,41035,2156600,347560,1492280,316760,32155,2013985,348745,1393770,271475,25690,1919100,361930,1320495,236675,19815,100,15.6,67,17.4,1.8,100,16.1,69.2,14.7,1.5,100,17.3,69.2,13.5,1.3,100,18.9,68.8,12.3,1,5.6,2.3,2.3,24.9,27.6,13.1,1.9,9.6,45.7,59.7,18.7,-1.8,15.7,67.1,107.1
59,British Columbia,4.9,20000,Female,2369815,335990,1580400,453425,68155,2243455,329805,1541695,371955,60520,2099500,330860,1440305,328340,50360,1988635,344140,1348085,296410,40215,100,14.2,66.7,19.1,2.9,100,14.7,68.7,16.6,2.7,100,15.8,68.6,15.6,2.4,100,17.3,67.8,14.9,2,5.6,1.9,2.5,21.9,12.6,12.9,1.6,9.7,38.1,35.3,19.2,-2.4,17.2,53,69.5
60,Yukon,6.7,00100,Both sexes,35870,6280,25335,4260,300,33900,5860,24945,3095,230,30370,5720,22370,2290,175,28675,6035,20910,1725,135,100,17.5,70.6,11.9,0.8,100,17.3,73.6,9.1,0.7,100,18.8,73.7,7.5,0.6,100,21,72.9,6,0.5,5.8,7.2,1.6,37.6,30.4,18.1,9.8,13.3,86,71.4,25.1,4.1,21.2,147,122.2
60,Yukon,6.7,00100,Male,18080,3355,12500,2220,130,17055,3015,12395,1645,95,15280,2920,11160,1200,65,14445,3105,10450,890,60,100,18.6,69.1,12.3,0.7,100,17.7,72.7,9.6,0.6,100,19.1,73,7.9,0.4,100,21.5,72.3,6.2,0.4,6,11.3,0.8,35,36.8,18.3,14.9,12,85,100,25.2,8.1,19.6,149.4,116.7
60,Yukon,6.7,00100,Female,17795,2925,12835,2035,175,16840,2845,12540,1450,135,15090,2800,11205,1085,115,14230,2930,10465,840,80,100,16.4,72.1,11.4,1,100,16.9,74.5,8.6,0.8,100,18.6,74.3,7.2,0.8,100,20.6,73.5,5.9,0.6,5.7,2.8,2.4,40.3,29.6,17.9,4.5,14.5,87.6,52.2,25.1,-0.2,22.6,142.3,118.8
61,Northwest Territories,7.5,00100,Both sexes,41785,8875,29690,3220,225,41460,9015,30055,2395,195,41460,9920,29570,1970,160,37360,10110,25615,1635,135,100,21.2,71.1,7.7,0.5,100,21.7,72.5,5.8,0.5,100,23.9,71.3,4.8,0.4,100,27.1,68.6,4.4,0.4,0.8,-1.6,-1.2,34.4,15.4,0.8,-10.5,0.4,63.5,40.6,11.8,-12.2,15.9,96.9,66.7
61,Northwest Territories,7.5,00100,Male,21275,4475,15090,1710,95,21060,4535,15305,1220,80,21225,5015,15225,985,80,19120,5130,13145,845,50,100,21,70.9,8,0.4,100,21.5,72.7,5.8,0.4,100,23.6,71.7,4.6,0.4,100,26.8,68.8,4.4,0.3,1,-1.3,-1.4,40.2,18.8,0.2,-10.8,-0.9,73.6,18.8,11.3,-12.8,14.8,102.4,90
61,Northwest Territories,7.5,00100,Female,20510,4395,14605,1510,130,20400,4475,14750,1175,120,20235,4900,14345,990,85,18245,4980,12470,795,90,100,21.4,71.2,7.4,0.6,100,21.9,72.3,5.8,0.6,100,24.2,70.9,4.9,0.4,100,27.3,68.3,4.4,0.5,0.5,-1.8,-1,28.5,8.3,1.4,-10.3,1.8,52.5,52.9,12.4,-11.7,17.1,89.9,44.4
62,Nunavut,7.9,00100,Both sexes,35940,11690,22895,1365,55,31905,10425,20420,1060,45,29475,10005,18660,810,45,26745,9925,16220,595,35,100,32.5,63.7,3.8,0.2,100,32.7,64,3.3,0.1,100,33.9,63.3,2.7,0.2,100,37.1,60.6,2.2,0.1,12.6,12.1,12.1,28.8,22.2,21.9,16.8,22.7,68.5,22.2,34.4,17.8,41.2,129.4,57.1
