"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","65 and over","4555","4510","0","45","0","100","99","0","1","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","65 to 74","3085","3045","5","35","0","100","98.7","0.2","1.1","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","75 and over","1475","1465","0","10","0","100","99.3","0","0.7","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","Total","15510","15345","0","160","5","100","98.9","0","1","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","0 to 14","1845","1835","0","10","0","100","99.5","0","0.5","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","0 to 4","500","495","0","0","0","100","99","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","5 to 9","630","630","0","0","0","100","100","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","10 to 14","710","705","0","5","0","100","99.3","0","0.7","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","15 to 24","1325","1290","0","40","0","100","97.4","0","3","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","15 to 19","750","730","0","20","0","100","97.3","0","2.7","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","20 to 24","575","565","0","15","0","100","98.3","0","2.6","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","25 to 44","2825","2775","0","55","0","100","98.2","0","1.9","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","45 to 64","5890","5835","0","50","0","100","99.1","0","0.8","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","65 and over","3625","3615","0","10","5","100","99.7","0","0.3","0.1"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","65 to 74","2390","2380","0","10","0","100","99.6","0","0.4","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","75 and over","1235","1230","0","0","0","100","99.6","0","0","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","Total","20205","18955","0","1245","5","100","93.8","0","6.2","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 14","2630","2375","0","255","5","100","90.3","0","9.7","0.2"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 4","740","730","0","10","0","100","98.6","0","1.4","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","5 to 9","945","825","0","115","0","100","87.3","0","12.2","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","10 to 14","950","820","0","130","0","100","86.3","0","13.7","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","15 to 24","1875","1640","0","235","0","100","87.5","0","12.5","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","15 to 19","1020","875","0","145","0","100","85.8","0","14.2","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","20 to 24","850","765","0","85","0","100","90","0","10","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","25 to 44","3770","3525","0","240","0","100","93.5","0","6.4","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","45 to 64","7185","6920","0","265","0","100","96.3","0","3.7","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","65 and over","4745","4500","0","245","0","100","94.8","0","5.2","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","65 to 74","2965","2815","0","150","0","100","94.9","0","5.1","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","75 and over","1780","1680","0","100","0","100","94.4","0","5.6","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","Total","41630","40115","5","1490","20","100","96.4","0","3.6","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","0 to 14","5740","5395","0","340","0","100","94","0","5.9","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","0 to 4","1720","1710","0","5","5","100","99.4","0","0.3","0.3"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","5 to 9","1955","1860","0","90","0","100","95.1","0","4.6","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","10 to 14","2070","1825","0","245","0","100","88.2","0","11.8","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","15 to 24","4465","4040","0","425","5","100","90.5","0","9.5","0.1"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","15 to 19","2210","1965","0","250","0","100","88.9","0","11.3","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","20 to 24","2260","2080","0","180","0","100","92","0","8","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","25 to 44","9070","8675","0","390","10","100","95.6","0","4.3","0.1"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","45 to 64","13525","13270","0","250","5","100","98.1","0","1.8","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","65 and over","8825","8745","5","80","0","100","99.1","0.1","0.9","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","65 to 74","5475","5410","0","60","0","100","98.8","0","1.1","0"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","75 and over","3350","3330","5","20","0","100","99.4","0.1","0.6","0"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","Total","37960","36285","0","1625","45","100","95.6","0","4.3","0.1"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","0 to 14","5515","5090","0","410","10","100","92.3","0","7.4","0.2"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","0 to 4","1560","1540","5","10","5","100","98.7","0.3","0.6","0.3"
