"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))","Mother tongue - Total (% change (2011 to 2016))","Mother tongue - English (% change (2011 to 2016))","Mother tongue - French (% change (2011 to 2016))","Mother tongue - Non-official language (% change (2011 to 2016))","Mother tongue - English and French (% change (2011 to 2016))","Mother tongue - English and non-official language (% change (2011 to 2016))","Mother tongue - French and non-official language (% change (2011 to 2016))","Mother tongue - English, French and non-official language (% change (2011 to 2016))","Mother tongue - Total (% change (2006 to 2016))","Mother tongue - English (% change (2006 to 2016))","Mother tongue - French (% change (2006 to 2016))","Mother tongue - Non-official language (% change (2006 to 2016))","Mother tongue - English and French (% change (2006 to 2016))","Mother tongue - English and non-official language (% change (2006 to 2016))","Mother tongue - French and non-official language (% change (2006 to 2016))","Mother tongue - English, French and non-official language (% change (2006 to 2016))"
"01","Canada","4.0","20000","65 and over","5668100","2934750","1368165","1292450","19090","44735","6980","1930","100","51.8","24.1","22.8","0.3","0.8","0.1","0","20.5","21.9","19.2","18.8","15.7","28.5","-6.2","27.8","39.1","41.8","45","26.6","55.1","92","68.6","82.1"
"01","Canada","4.0","20000","65 to 74","3355975","1796050","828195","689450","10825","25915","4335","1205","100","53.5","24.7","20.5","0.3","0.8","0.1","0","26.9","31.1","24.2","20.1","17.4","37.6","6.1","37.7","48.8","60.6","51.8","21.1","63.9","102.7","84.5","84"
"01","Canada","4.0","20000","75 and over","2312125","1138700","539970","603000","8270","18820","2640","725","100","49.2","23.4","26.1","0.4","0.8","0.1","0","12.3","9.8","12.3","17.3","13.6","17.8","-21.3","14.2","27.1","19.8","35.7","33.5","45","79","47.9","79"
"10","Newfoundland and Labrador","4.0","00000","Total","515680","499705","2355","11920","585","1025","60","30","100","96.9","0.5","2.3","0.1","0.2","0","0","1.1","0.4","-5","35.6","24.5","75.2","50","20","3","2.3","24.9","25","98.3","135.6","100","200"
"10","Newfoundland and Labrador","4.0","00000","0 to 14","74360","71655","230","2015","160","285","10","10","100","96.4","0.3","2.7","0.2","0.4","0","0","-2.9","-3.9","27.8","33.9","18.5","103.6","0","","-4.9","-6.2","64.3","29.6","146.2","307.1","-60",""
"10","Newfoundland and Labrador","4.0","00000","0 to 4","22345","21410","75","670","55","130","0","5","100","95.8","0.3","3","0.2","0.6","0","0","-8.7","-9.7","25","14.5","83.3","85.7","-100","","-1.8","-3.4","200","36.7","83.3","333.3","-100",""
"10","Newfoundland and Labrador","4.0","00000","5 to 9","26020","25080","85","700","45","100","0","5","100","96.4","0.3","2.7","0.2","0.4","0","0","3.7","2.5","30.8","52.2","-10","122.2","-100","","-0.3","-1.5","41.7","32.1","200","900","",""
"10","Newfoundland and Labrador","4.0","00000","10 to 14","25995","25160","70","645","55","55","5","0","100","96.8","0.3","2.5","0.2","0.2","0","0","-3.7","-4.7","16.7","40.2","22.2","83.3","","","-11.5","-12.5","40","20.6","450","83.3","",""
"10","Newfoundland and Labrador","4.0","00000","15 to 24","54850","52775","155","1645","125","140","5","0","100","96.2","0.3","3","0.2","0.3","0","0","-7.9","-8.7","-13.9","15","47.1","154.5","","-100","-16.1","-17.3","19.2","33.7","47.1","154.5","-50",""
"10","Newfoundland and Labrador","4.0","00000","15 to 19","27205","26385","60","635","60","60","5","0","100","97","0.2","2.3","0.2","0.2","0","0","-7.9","-8.7","-7.7","25.7","71.4","100","0","","-20.3","-20.9","-20","3.3","71.4","100","",""
"10","Newfoundland and Labrador","4.0","00000","20 to 24","27645","26390","90","1010","60","80","5","0","100","95.5","0.3","3.7","0.2","0.3","0","0","-7.9","-8.7","-21.7","9.2","33.3","166.7","","-100","-11.5","-13.4","80","62.9","33.3","220","-50",""
"10","Newfoundland and Labrador","4.0","00000","25 to 44","122660","116550","720","4825","150","375","30","10","100","95","0.6","3.9","0.1","0.3","0","0","-4.8","-6.6","20","60.3","42.9","59.6","20","0","-10","-12.3","38.5","88.5","114.3","102.7","",""
"10","Newfoundland and Labrador","4.0","00000","45 to 64","165920","162435","770","2445","85","165","5","5","100","97.9","0.5","1.5","0.1","0.1","0","0","-0.4","-0.6","-19.8","19","-5.6","57.1","0","0","7.4","7.6","4.8","-10.3","54.5","57.1","",""
"10","Newfoundland and Labrador","4.0","00000","65 and over","97890","96295","475","990","65","60","0","0","100","98.4","0.5","1","0.1","0.1","0","0","24.9","25.1","-15.2","25.3","30","33.3","-100","","47.9","49.7","33.8","-32.4","225","200","",""
"10","Newfoundland and Labrador","4.0","00000","65 to 74","63125","62130","295","620","40","40","5","0","100","98.4","0.5","1","0.1","0.1","0","0","30.8","31.2","-10.6","19.2","60","60","","","61.4","63.8","43.9","-36.1","166.7","","",""
"10","Newfoundland and Labrador","4.0","00000","75 and over","34770","34165","180","375","25","15","0","0","100","98.3","0.5","1.1","0.1","0","0","0","15.4","15.5","-21.7","38.9","0","-40","-100","-100","28.4","29.4","20","-24.2","","0","",""
"11","Prince Edward Island","4.1","00000","Total","141020","128005","4865","7160","485","460","30","20","100","90.8","3.4","5.1","0.3","0.3","0","0","1.9","0.3","-6.4","47.2","9","80.4","-14.3","100","5.1","2.2","-9.1","141.9","-2","338.1","20","33.3"
"11","Prince Edward Island","4.1","00000","0 to 14","22665","20865","400","1105","135","150","5","10","100","92.1","1.8","4.9","0.6","0.7","0","0","-1.7","-4.2","-8","74","22.7","87.5","0","100","-5.6","-9.7","-16.7","281","58.8","500","","0"
"11","Prince Edward Island","4.1","00000","0 to 4","6995","6505","115","285","40","45","5","0","100","93","1.6","4.1","0.6","0.6","0.1","0","-3.8","-5.9","-4.2","62.9","0","28.6","","","5.7","1.8","0","375","33.3","80","",""
"11","Prince Edward Island","4.1","00000","5 to 9","7900","7255","135","405","45","60","0","5","100","91.8","1.7","5.1","0.6","0.8","0","0.1","7","3.9","-3.6","107.7","12.5","140","","","-1.3","-5.3","-27","224","80","","",""
"11","Prince Edward Island","4.1","00000","10 to 14","7770","7105","145","415","50","45","5","5","100","91.4","1.9","5.3","0.6","0.6","0.1","0.1","-7.4","-9.9","-21.6","59.6","42.9","200","0","","-17.1","-21.5","-21.6","295.2","66.7","","","-50"
"11","Prince Edward Island","4.1","00000","15 to 24","17215","15545","330","1175","90","60","0","0","100","90.3","1.9","6.8","0.5","0.3","0","0","-6.3","-9.6","-9.6","65.5","12.5","200","","","-7.2","-12.1","-34.7","370","-5.3","500","",""
"11","Prince Edward Island","4.1","00000","15 to 19","8625","7815","170","545","50","35","0","5","100","90.6","2","6.3","0.6","0.4","0","0.1","-10.5","-13.5","-8.1","55.7","0","250","","","-13.4","-17.9","-30.6","289.3","11.1","","",""
"11","Prince Edward Island","4.1","00000","20 to 24","8590","7730","160","630","40","30","0","0","100","90","1.9","7.3","0.5","0.3","0","0","-1.8","-5.3","-11.1","77.5","14.3","200","","","-0.1","-5.3","-37.3","447.8","-20","","",""
"11","Prince Edward Island","4.1","00000","25 to 44","32295","28735","835","2440","110","155","10","5","100","89","2.6","7.6","0.3","0.5","0","0","-1.2","-3.9","-18.5","54.9","15.8","106.7","0","0","-6.5","-11","-36","195.8","15.8","287.5","",""
"11","Prince Edward Island","4.1","00000","45 to 64","42570","38815","1820","1775","75","75","10","0","100","91.2","4.3","4.2","0.2","0.2","0","0","-0.8","-1.3","-9.9","26.8","-16.7","36.4","0","-100","11.3","10.2","-6.7","88.8","-46.4","275","0",""
"11","Prince Edward Island","4.1","00000","65 and over","26270","24040","1475","660","65","15","5","0","100","91.5","5.6","2.5","0.2","0.1","0","0","22.7","23.8","10.1","20","0","-40","0","","39.4","41.7","32.9","0.8","-23.5","-25","-66.7",""
"11","Prince Edward Island","4.1","00000","65 to 74","16350","15105","825","365","40","15","0","0","100","92.4","5","2.2","0.2","0.1","0","0","32.2","34.1","14.6","12.3","0","0","-100","","54.3","58.7","31","-2.7","-27.3","0","-100",""
"11","Prince Edward Island","4.1","00000","75 and over","9920","8935","655","300","25","5","0","0","100","90.1","6.6","3","0.3","0.1","0","0","9.8","9.7","5.6","36.4","-16.7","-50","","","20.2","19.9","35.1","7.1","-16.7","","",""
"12","Nova Scotia","3.9","00000","Total","912295","830220","29465","44550","3445","4180","225","210","100","91","3.2","4.9","0.4","0.5","0","0","0.2","-0.7","-5.3","20.1","13.5","46.4","-28.6","68","1","-0.2","-9.4","28.7","64","190.3","60.7","44.8"
"12","Nova Scotia","3.9","00000","0 to 14","133715","124160","2110","5390","840","1120","25","65","100","92.9","1.6","4","0.6","0.8","0","0","-3.2","-4.4","-10","21","20","56.6","-28.6","44.4","-8.7","-10.2","-21.7","15.8","90.9","229.4","","18.2"
"12","Nova Scotia","3.9","00000","0 to 4","41970","38780","590","1775","305","485","15","15","100","92.4","1.4","4.2","0.7","1.2","0","0","-4.5","-5.7","-18.6","16.8","22","49.2","-25","0","-0.2","-1.4","-20.3","6.3","96.8","212.9","","50"
"12","Nova Scotia","3.9","00000","5 to 9","45960","42710","755","1825","280","365","10","25","100","92.9","1.6","4","0.6","0.8","0","0.1","3.5","2","3.4","31.3","47.4","69.8","0","150","-4.5","-6.7","-10.1","46.6","75","329.4","","-16.7"
"12","Nova Scotia","3.9","00000","10 to 14","45780","42665","765","1800","255","265","5","25","100","93.2","1.7","3.9","0.6","0.6","0","0.1","-8","-9","-14","16.5","-3.8","51.4","-50","66.7","-18.7","-19.8","-31.4","3.7","104","165","","66.7"
"12","Nova Scotia","3.9","00000","15 to 24","107015","96270","2090","7390","545","660","20","35","100","90","2","6.9","0.5","0.6","0","0","-8.2","-9.9","-13.1","15.9","4.8","46.7","-33.3","133.3","-9.1","-12.5","-21.3","60.8","67.7","247.4","","250"
"12","Nova Scotia","3.9","00000","15 to 19","51085","46950","910","2645","250","300","5","20","100","91.9","1.8","5.2","0.5","0.6","0","0","-10.8","-11.9","-19.1","12.8","-5.7","46.3","-50","300","-16.8","-18.7","-28.6","21.1","72.4","200","","100"
"12","Nova Scotia","3.9","00000","20 to 24","55925","49320","1180","4750","295","355","15","10","100","88.2","2.1","8.5","0.5","0.6","0","0","-5.8","-7.9","-8.2","18","18","44.9","0","0","-0.7","-5.7","-14.8","97.1","63.9","317.6","",""
"12","Nova Scotia","3.9","00000","25 to 44","213470","190415","5990","14695","895","1350","75","50","100","89.2","2.8","6.9","0.4","0.6","0","0","-3.3","-5.2","-12.5","29.6","21.8","61.7","-42.3","25","-11.3","-14.1","-28.1","50.6","55.7","309.1","114.3","-33.3"
"12","Nova Scotia","3.9","00000","45 to 64","282260","259185","10745","10870","650","705","70","45","100","91.8","3.8","3.9","0.2","0.2","0","0","-2.4","-2.7","-9.6","11.8","-1.5","29.4","-6.7","200","5.7","6.1","-9.4","10.4","35.4","120.3","-26.3",""
"12","Nova Scotia","3.9","00000","65 and over","175845","160195","8535","6200","515","355","25","15","100","91.1","4.9","3.5","0.3","0.2","0","0","20.5","21.1","11.9","19","24.1","14.5","-50","0","34.2","36","21.9","7.4","83.9","36.5","150",""
"12","Nova Scotia","3.9","00000","65 to 74","107455","98435","4995","3505","295","190","15","10","100","91.6","4.6","3.3","0.3","0.2","0","0","27.6","28.6","17.7","15.9","34.1","8.6","-50","-33.3","48.6","51.2","37.2","7.7","63.9","58.3","",""
"12","Nova Scotia","3.9","00000","75 and over","68390","61755","3535","2690","220","165","15","10","100","90.3","5.2","3.9","0.3","0.2","0","0","10.9","10.8","4.6","23.4","10","26.9","-25","","16.4","17.3","5.2","7","131.6","17.9","50","0"
"13","New Brunswick","3.9","00000","Total","736280","472725","231110","23150","7280","1535","330","145","100","64.2","31.4","3.1","1","0.2","0","0","-0.5","-1.5","-1","25.8","10.6","37.1","32","52.6","2.3","2.1","-0.8","26.4","63.6","174.1","175","383.3"
"13","New Brunswick","3.9","00000","0 to 14","110400","76465","28160","3425","1795","395","95","65","100","69.3","25.5","3.1","1.6","0.4","0.1","0.1","-2.7","-4.6","-3.5","54.3","11.8","43.6","46.2","116.7","-6.6","-7.8","-11.5","46.7","81.3","216","850","550"
"13","New Brunswick","3.9","00000","0 to 4","34345","23790","8620","1005","700","150","40","30","100","69.3","25.1","2.9","2","0.4","0.1","0.1","-5.9","-7","-9","71.8","-3.4","30.4","33.3","200","-0.2","-1.4","-5.3","40.6","70.7","150","300","200"
"13","New Brunswick","3.9","00000","5 to 9","38235","26530","9820","1160","540","135","35","10","100","69.4","25.7","3","1.4","0.4","0.1","0","4.3","2.2","4.2","64.5","20","68.8","75","-33.3","-1.4","-3.7","-4.7","75.8","129.8","237.5","",""
