"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","15 to 19","4095","3600","50","395","15","25","5","5","100","87.9","1.2","9.6","0.4","0.6","0.1","0.1"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","20 to 24","4735","4175","75","445","25","20","0","0","100","88.2","1.6","9.4","0.5","0.4","0","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","25 to 44","17180","14875","315","1815","60","100","10","5","100","86.6","1.8","10.6","0.3","0.6","0.1","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","45 to 64","19565","17670","500","1315","30","45","10","0","100","90.3","2.6","6.7","0.2","0.2","0.1","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","65 and over","11375","10685","260","400","20","10","0","0","100","93.9","2.3","3.5","0.2","0.1","0","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","65 to 74","7125","6715","165","215","15","10","0","0","100","94.2","2.3","3","0.2","0.1","0","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","75 and over","4255","3970","90","185","5","5","0","0","100","93.3","2.1","4.3","0.1","0.1","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","Total","16270","14830","825","425","120","75","0","5","100","91.1","5.1","2.6","0.7","0.5","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","0 to 14","2630","2465","50","65","35","20","0","0","100","93.7","1.9","2.5","1.3","0.8","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","0 to 4","795","740","20","20","5","10","0","0","100","93.1","2.5","2.5","0.6","1.3","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","5 to 9","895","845","15","20","10","0","0","0","100","94.4","1.7","2.2","1.1","0","0","0"
